threshold,strategy,net_benefit
0.01,treat_none,0.0
0.01,treat_all,0.2588383838383838
0.01,tabular_only,0.2588383838383838
0.01,fixed_weight,0.2588383838383838
0.01,learned_gate,0.2588383838383838
0.01,LACE,0.2588383838383838
0.01,HOSPITAL,0.2588383838383838
0.02,treat_none,0.0
0.02,treat_all,0.2512755102040816
0.02,tabular_only,0.2512755102040816
0.02,fixed_weight,0.2512755102040816
0.02,learned_gate,0.2512755102040816
0.02,LACE,0.2512755102040816
0.02,HOSPITAL,0.2512755102040816
0.03,treat_none,0.0
0.03,treat_all,0.24355670103092783
0.03,tabular_only,0.24355670103092783
0.03,fixed_weight,0.24355670103092783
0.03,learned_gate,0.24355670103092783
0.03,LACE,0.24355670103092783
0.03,HOSPITAL,0.23320876288659795
0.04,treat_none,0.0
0.04,treat_all,0.23567708333333331
0.04,tabular_only,0.23567708333333331
0.04,fixed_weight,0.23567708333333331
0.04,learned_gate,0.23567708333333331
0.04,LACE,0.23567708333333331
0.04,HOSPITAL,0.22585937500000003
0.05,treat_none,0.0
0.05,treat_all,0.2276315789473684
0.05,tabular_only,0.2276315789473684
0.05,fixed_weight,0.2276315789473684
0.05,learned_gate,0.2276315789473684
0.05,LACE,0.22253289473684207
0.05,HOSPITAL,0.1893421052631579
0.060000000000000005,treat_none,0.0
0.060000000000000005,treat_all,0.21941489361702127
0.060000000000000005,tabular_only,0.21941489361702127
0.060000000000000005,fixed_weight,0.21941489361702127
0.060000000000000005,learned_gate,0.21941489361702127
0.060000000000000005,LACE,0.21482712765957446
0.060000000000000005,HOSPITAL,0.18361702127659574
0.06999999999999999,treat_none,0.0
0.06999999999999999,treat_all,0.21102150537634407
0.06999999999999999,tabular_only,0.21102150537634407
0.06999999999999999,fixed_weight,0.21102150537634407
0.06999999999999999,learned_gate,0.21102150537634407
0.06999999999999999,LACE,0.2038844086021505
0.06999999999999999,HOSPITAL,0.17776881720430107
0.08,treat_none,0.0
0.08,treat_all,0.20244565217391303
0.08,tabular_only,0.20244565217391303
0.08,fixed_weight,0.20244565217391303
0.08,learned_gate,0.20244565217391303
0.08,LACE,0.19614130434782606
0.08,HOSPITAL,0.15989130434782609
0.09,treat_none,0.0
0.09,treat_all,0.19368131868131866
