subset,modalities,n_modalities,fusion,AUROC,AUPRC,Brier,ECE
CXR,['cxr'],1,fixed_weight,0.5114991482112436,0.2714278484582975,0.25161641350836456,0.23611665457487105
CXR,['cxr'],1,learned_gate,0.5046448480776767,0.26579345999575354,0.20050552270422703,0.07053749345242978
ECG,['ecg'],1,fixed_weight,0.5335396821588246,0.292382402679909,0.24151245291774714,0.20527453338960186
ECG,['ecg'],1,learned_gate,0.4604468091913205,0.24949041787896295,0.20185261212121908,0.08376347064971924
TAB,['tabular'],1,fixed_weight,0.6439902904079788,0.4008883373494253,0.21941468143304274,0.1874956353753805
TAB,['tabular'],1,learned_gate,0.6514004526877335,0.41696045690831884,0.19170150975078534,0.085815616697073
ECG+CXR,"['ecg', 'cxr']",2,fixed_weight,0.5463954939175084,0.2983436789644287,0.24301504568555804,0.2170269484445453
ECG+CXR,"['ecg', 'cxr']",2,learned_gate,0.4734905743375643,0.25442227924765665,0.2020528497642833,0.07755655199289326
TAB+CXR,"['tabular', 'cxr']",2,fixed_weight,0.6335448808695443,0.3746853470547977,0.2408190971250776,0.22349044192582374
TAB+CXR,"['tabular', 'cxr']",2,learned_gate,0.6503447145108013,0.4169372204529196,0.19299159555406897,0.08936357127502562
TAB+ECG,"['tabular', 'ecg']",2,fixed_weight,0.5979097183898393,0.3554704458420065,0.23224298894750756,0.19574674727860839
TAB+ECG,"['tabular', 'ecg']",2,learned_gate,0.6493249674080828,0.4157137817592462,0.19236149512915812,0.08772855442017316
TAB+ECG+CXR,"['tabular', 'ecg', 'cxr']",3,fixed_weight,0.5997402644144253,0.3494789415583244,0.23801120360959568,0.21264526169747114
TAB+ECG+CXR,"['tabular', 'ecg', 'cxr']",3,learned_gate,0.6459078148619143,0.413897037416679,0.19409550006190673,0.09348246900364755
