feature,importance
high_risk_composite,0.073218495
prior_admits_12m,0.06463565
vital_min_heart_rate,0.02893295
hemoglobin_to_bun_ratio,0.0286683
ed_visits_6m,0.028464999
vital_min_dbp,0.026346937
vital_hr_instability,0.026103064
lab_creatinine,0.024411479
lab_hemoglobin,0.024306482
lab_nt_probnp,0.023899544
pulse_pressure,0.023641428
lab_sodium,0.02329046
bun_creatinine_ratio,0.023206148
lab_glucose,0.022984441
lab_albumin,0.022898957
lab_bun,0.02272907
lab_hematocrit,0.022430258
lab_wbc,0.022326084
vital_min_temperature,0.02198274
los_days,0.021848928
vital_sbp_instability,0.021645416
vital_max_temperature,0.021462632
lab_potassium,0.021111356
vital_mean_spo2,0.021097077
vital_mean_resp_rate,0.020919513
age,0.020790942
lab_bicarbonate,0.02054767
vital_max_heart_rate,0.020240968
vital_max_dbp,0.019752342
vital_mean_sbp,0.019558411
vital_min_spo2,0.019510876
vital_max_resp_rate,0.01917348
vital_mean_temperature,0.019154517
vital_mean_heart_rate,0.018705003
vital_min_resp_rate,0.018669
vital_min_sbp,0.018209329
is_male,0.018078972
vital_max_sbp,0.017558496
vital_mean_dbp,0.017274747
via_ed,0.01717015
vital_max_spo2,0.016843189
shock_index,0.016199471
race_BLACK,0.0
race_OTHER,0.0
race_HISPANIC,0.0
race_ASIAN,0.0
race_WHITE,0.0
